No.,Time,Source,Destination,Protocol,Length,CID,Payload,Info
4247,30:10.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4248,30:10.3,localhost (),remote (),L2CAP,558,Dynamically Allocated Channel,8060052f0170edaf0000000047fc0000,Sent Connection oriented channel
4249,30:10.3,localhost (),remote (),L2CAP,555,Dynamically Allocated Channel,806005300170edc60000000047fc0000,Sent Connection oriented channel
4250,30:10.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4251,30:10.3,localhost (),remote (),L2CAP,569,Dynamically Allocated Channel,806005310170eddd0000000047fc0000,Sent Connection oriented channel
4252,30:10.4,localhost (),remote (),L2CAP,560,Dynamically Allocated Channel,806005320170edf40000000047fc0000,Sent Connection oriented channel
4253,30:10.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4254,30:10.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4255,30:10.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4256,30:10.4,localhost (),remote (),L2CAP,549,Dynamically Allocated Channel,806005330170ee0b0000000047fc0000,Sent Connection oriented channel
4257,30:10.4,localhost (),remote (),L2CAP,557,Dynamically Allocated Channel,806005340170ee220000000047fc0000,Sent Connection oriented channel
4258,30:10.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4259,30:10.4,localhost (),remote (),L2CAP,565,Dynamically Allocated Channel,806005350170ee3a0000000047fc0000,Sent Connection oriented channel
4260,30:10.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4261,30:10.5,localhost (),remote (),L2CAP,560,Dynamically Allocated Channel,806005360170ee510000000047fc0000,Sent Connection oriented channel
4262,30:10.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4263,30:10.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4264,30:10.5,localhost (),remote (),L2CAP,556,Dynamically Allocated Channel,806005370170ee680000000047fc0000,Sent Connection oriented channel
4265,30:10.5,localhost (),remote (),L2CAP,555,Dynamically Allocated Channel,806005380170ee800000000047fc0000,Sent Connection oriented channel
4266,30:10.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4267,30:10.5,localhost (),remote (),L2CAP,563,Dynamically Allocated Channel,806005390170ee970000000047fc0000,Sent Connection oriented channel
4268,30:10.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4269,30:10.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4270,30:10.6,localhost (),remote (),L2CAP,550,Dynamically Allocated Channel,8060053a0170eeae0000000047fc0000,Sent Connection oriented channel
4271,30:10.6,localhost (),remote (),L2CAP,561,Dynamically Allocated Channel,8060053b0170eec50000000047fc0000,Sent Connection oriented channel
4272,30:10.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4273,30:10.6,localhost (),remote (),L2CAP,553,Dynamically Allocated Channel,8060053c0170eedd0000000047fc0000,Sent Connection oriented channel
4274,30:10.6,localhost (),remote (),L2CAP,556,Dynamically Allocated Channel,8060053d0170eef30000000047fc0000,Sent Connection oriented channel
4275,30:10.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4276,30:10.6,localhost (),remote (),L2CAP,563,Dynamically Allocated Channel,8060053e0170ef0b0000000047fc0000,Sent Connection oriented channel
4277,30:10.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4278,30:10.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4279,30:10.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4280,30:10.7,localhost (),remote (),L2CAP,562,Dynamically Allocated Channel,8060053f0170ef220000000047fc0000,Sent Connection oriented channel
4281,30:10.7,localhost (),remote (),L2CAP,552,Dynamically Allocated Channel,806005400170ef390000000047fc0000,Sent Connection oriented channel
4282,30:10.7,localhost (),remote (),L2CAP,561,Dynamically Allocated Channel,806005410170ef500000000047fc0000,Sent Connection oriented channel
4283,30:10.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4284,30:10.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4285,30:10.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4286,30:10.7,localhost (),remote (),L2CAP,558,Dynamically Allocated Channel,806005420170ef670000000047fc0000,Sent Connection oriented channel
4287,30:10.8,localhost (),remote (),L2CAP,564,Dynamically Allocated Channel,806005430170ef7f0000000047fc0000,Sent Connection oriented channel
4288,30:10.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4289,30:10.8,localhost (),remote (),L2CAP,535,Dynamically Allocated Channel,806005440170ef960000000047fc0000,Sent Connection oriented channel
4290,30:10.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4291,30:10.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4292,30:10.8,localhost (),remote (),L2CAP,582,Dynamically Allocated Channel,806005450170efae0000000047fc0000,Sent Connection oriented channel
4293,30:10.8,localhost (),remote (),L2CAP,577,Dynamically Allocated Channel,806005460170efc50000000047fc0000,Sent Connection oriented channel
4294,30:10.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4295,30:10.9,localhost (),remote (),L2CAP,564,Dynamically Allocated Channel,806005470170efdc0000000047fc0000,Sent Connection oriented channel
4296,30:10.9,localhost (),remote (),L2CAP,559,Dynamically Allocated Channel,806005480170eff40000000047fc0000,Sent Connection oriented channel
4297,30:10.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4298,30:10.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4299,30:10.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4300,30:10.9,localhost (),remote (),L2CAP,545,Dynamically Allocated Channel,806005490170f00a0000000047fc0000,Sent Connection oriented channel
4301,30:10.9,localhost (),remote (),L2CAP,558,Dynamically Allocated Channel,8060054a0170f0210000000047fc0000,Sent Connection oriented channel
4302,30:10.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4303,30:10.9,localhost (),remote (),L2CAP,565,Dynamically Allocated Channel,8060054b0170f0390000000047fc0000,Sent Connection oriented channel
4304,30:10.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4305,30:11.0,localhost (),remote (),L2CAP,577,Dynamically Allocated Channel,8060054c0170f0500000000047fc0000,Sent Connection oriented channel
4306,30:11.0,localhost (),remote (),L2CAP,546,Dynamically Allocated Channel,8060054d0170f0670000000047fc0000,Sent Connection oriented channel
4307,30:11.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4308,30:11.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4309,30:11.0,localhost (),remote (),L2CAP,534,Dynamically Allocated Channel,8060054e0170f07f0000000047fc0000,Sent Connection oriented channel
4310,30:11.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4311,30:11.0,localhost (),remote (),L2CAP,552,Dynamically Allocated Channel,8060054f0170f0950000000047fc0000,Sent Connection oriented channel
4312,30:11.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4313,30:11.1,localhost (),remote (),L2CAP,556,Dynamically Allocated Channel,806005500170f0ac0000000047fc0000,Sent Connection oriented channel
4314,30:11.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4315,30:11.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4316,30:11.1,localhost (),remote (),L2CAP,542,Dynamically Allocated Channel,806005510170f0c40000000047fc0000,Sent Connection oriented channel
4317,30:11.1,localhost (),remote (),L2CAP,580,Dynamically Allocated Channel,806005520170f0db0000000047fc0000,Sent Connection oriented channel
4318,30:11.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4319,30:11.1,localhost (),remote (),L2CAP,557,Dynamically Allocated Channel,806005530170f0f20000000047fc0000,Sent Connection oriented channel
4320,30:11.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4321,30:11.2,localhost (),remote (),L2CAP,559,Dynamically Allocated Channel,806005540170f10a0000000047fc0000,Sent Connection oriented channel
4322,30:11.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4323,30:11.2,localhost (),remote (),L2CAP,578,Dynamically Allocated Channel,806005550170f1210000000047fc0000,Sent Connection oriented channel
4324,30:11.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4325,30:11.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4326,30:11.2,localhost (),remote (),L2CAP,559,Dynamically Allocated Channel,806005560170f1380000000047fc0000,Sent Connection oriented channel
4327,30:11.2,localhost (),remote (),L2CAP,571,Dynamically Allocated Channel,806005570170f1500000000047fc0000,Sent Connection oriented channel
4328,30:11.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4329,30:11.2,localhost (),remote (),L2CAP,559,Dynamically Allocated Channel,806005580170f1670000000047fc0000,Sent Connection oriented channel
4330,30:11.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4331,30:11.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4332,30:11.3,localhost (),remote (),L2CAP,542,Dynamically Allocated Channel,806005590170f17e0000000047fc0000,Sent Connection oriented channel
4333,30:11.3,localhost (),remote (),L2CAP,574,Dynamically Allocated Channel,8060055a0170f1950000000047fc0000,Sent Connection oriented channel
4334,30:11.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4335,30:11.3,localhost (),remote (),L2CAP,571,Dynamically Allocated Channel,8060055b0170f1ac0000000047fc0000,Sent Connection oriented channel
4336,30:11.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4337,30:11.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4338,30:11.3,localhost (),remote (),L2CAP,562,Dynamically Allocated Channel,8060055c0170f1c30000000047fc0000,Sent Connection oriented channel
4339,30:11.4,localhost (),remote (),L2CAP,569,Dynamically Allocated Channel,8060055d0170f1da0000000047fc0000,Sent Connection oriented channel
4340,30:11.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4341,30:11.4,localhost (),remote (),L2CAP,571,Dynamically Allocated Channel,8060055e0170f1f20000000047fc0000,Sent Connection oriented channel
4342,30:11.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4343,30:11.4,localhost (),remote (),L2CAP,545,Dynamically Allocated Channel,8060055f0170f2090000000047fc0000,Sent Connection oriented channel
4344,30:11.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4345,30:11.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4346,30:11.4,localhost (),remote (),L2CAP,576,Dynamically Allocated Channel,806005600170f2210000000047fc0000,Sent Connection oriented channel
4347,30:11.5,localhost (),remote (),L2CAP,545,Dynamically Allocated Channel,806005610170f2380000000047fc0000,Sent Connection oriented channel
4348,30:11.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4349,30:11.5,localhost (),remote (),L2CAP,549,Dynamically Allocated Channel,806005620170f24f0000000047fc0000,Sent Connection oriented channel
4350,30:11.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4351,30:11.5,localhost (),remote (),L2CAP,548,Dynamically Allocated Channel,806005630170f2660000000047fc0000,Sent Connection oriented channel
4352,30:11.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4353,30:11.5,localhost (),remote (),L2CAP,575,Dynamically Allocated Channel,806005640170f27e0000000047fc0000,Sent Connection oriented channel
4354,30:11.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4355,30:11.6,localhost (),remote (),L2CAP,576,Dynamically Allocated Channel,806005650170f2940000000047fc0000,Sent Connection oriented channel
4356,30:11.6,localhost (),remote (),L2CAP,579,Dynamically Allocated Channel,806005660170f2ac0000000047fc0000,Sent Connection oriented channel
4357,30:11.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4358,30:11.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4359,30:11.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4360,30:11.6,localhost (),remote (),L2CAP,578,Dynamically Allocated Channel,806005670170f2c30000000047fc0000,Sent Connection oriented channel
4361,30:11.6,localhost (),remote (),L2CAP,571,Dynamically Allocated Channel,806005680170f2da0000000047fc0000,Sent Connection oriented channel
4362,30:11.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4363,30:11.6,localhost (),remote (),L2CAP,576,Dynamically Allocated Channel,806005690170f2f10000000047fc0000,Sent Connection oriented channel
4364,30:11.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4365,30:11.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4366,30:11.7,localhost (),remote (),L2CAP,561,Dynamically Allocated Channel,8060056a0170f3080000000047fc0000,Sent Connection oriented channel
4367,30:11.7,localhost (),remote (),L2CAP,540,Dynamically Allocated Channel,8060056b0170f31f0000000047fc0000,Sent Connection oriented channel
4368,30:11.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4369,30:11.7,localhost (),remote (),L2CAP,542,Dynamically Allocated Channel,8060056c0170f3370000000047fc0000,Sent Connection oriented channel
4370,30:11.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4371,30:11.7,localhost (),remote (),L2CAP,569,Dynamically Allocated Channel,8060056d0170f34e0000000047fc0000,Sent Connection oriented channel
4372,30:11.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4373,30:11.8,localhost (),remote (),L2CAP,547,Dynamically Allocated Channel,8060056e0170f3660000000047fc0000,Sent Connection oriented channel
4374,30:11.8,localhost (),remote (),L2CAP,547,Dynamically Allocated Channel,8060056f0170f37d0000000047fc0000,Sent Connection oriented channel
4375,30:11.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4376,30:11.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4377,30:11.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4378,30:11.8,localhost (),remote (),L2CAP,558,Dynamically Allocated Channel,806005700170f3940000000047fc0000,Sent Connection oriented channel
4379,30:11.8,localhost (),remote (),L2CAP,570,Dynamically Allocated Channel,806005710170f3ac0000000047fc0000,Sent Connection oriented channel
4380,30:11.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4381,30:11.9,localhost (),remote (),L2CAP,586,Dynamically Allocated Channel,806005720170f3c20000000047fc0000,Sent Connection oriented channel
4382,30:11.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4383,30:11.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4384,30:11.9,localhost (),remote (),L2CAP,575,Dynamically Allocated Channel,806005730170f3da0000000047fc0000,Sent Connection oriented channel
4385,30:11.9,localhost (),remote (),L2CAP,557,Dynamically Allocated Channel,806005740170f3f10000000047fc0000,Sent Connection oriented channel
4386,30:11.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4387,30:11.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4388,30:11.9,localhost (),remote (),L2CAP,572,Dynamically Allocated Channel,806005750170f4080000000047fc0000,Sent Connection oriented channel
4389,30:11.9,localhost (),remote (),L2CAP,530,Dynamically Allocated Channel,806005760170f41f0000000047fc0000,Sent Connection oriented channel
4390,30:11.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4391,30:12.0,localhost (),remote (),L2CAP,540,Dynamically Allocated Channel,806005770170f4360000000047fc0000,Sent Connection oriented channel
4392,30:12.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4393,30:12.0,localhost (),remote (),L2CAP,546,Dynamically Allocated Channel,806005780170f44d0000000047fc0000,Sent Connection oriented channel
4394,30:12.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4395,30:12.0,localhost (),remote (),L2CAP,567,Dynamically Allocated Channel,806005790170f4650000000047fc0000,Sent Connection oriented channel
4396,30:12.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4397,30:12.0,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4398,30:12.0,localhost (),remote (),L2CAP,563,Dynamically Allocated Channel,8060057a0170f47c0000000047fc0000,Sent Connection oriented channel
4399,30:12.1,localhost (),remote (),L2CAP,567,Dynamically Allocated Channel,8060057b0170f4930000000047fc0000,Sent Connection oriented channel
4400,30:12.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4401,30:12.1,localhost (),remote (),L2CAP,560,Dynamically Allocated Channel,8060057c0170f4ab0000000047fc0000,Sent Connection oriented channel
4402,30:12.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4403,30:12.1,localhost (),remote (),L2CAP,567,Dynamically Allocated Channel,8060057d0170f4c20000000047fc0000,Sent Connection oriented channel
4404,30:12.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4405,30:12.1,localhost (),remote (),L2CAP,576,Dynamically Allocated Channel,8060057e0170f4d90000000047fc0000,Sent Connection oriented channel
4406,30:12.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4407,30:12.1,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4408,30:12.2,host,controller,HCI_CMD,,,,Sent Read Clock
4409,30:12.2,localhost (),remote (),L2CAP,539,Dynamically Allocated Channel,8060057f0170f4f00000000047fc0000,Sent Connection oriented channel
4410,30:12.2,controller,host,HCI_EVT,,,,Rcvd Command Complete (Read Clock)[Malformed Packet]
4411,30:12.2,localhost (),remote (),L2CAP,577,Dynamically Allocated Channel,806005800170f50b0000000047fc0000,Sent Connection oriented channel
4412,30:12.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4413,30:12.2,localhost (),remote (),L2CAP,556,Dynamically Allocated Channel,806005810170f5220000000047fc0000,Sent Connection oriented channel
4414,30:12.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4415,30:12.2,localhost (),remote (),L2CAP,560,Dynamically Allocated Channel,806005820170f5390000000047fc0000,Sent Connection oriented channel
4416,30:12.2,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4417,30:12.2,localhost (),remote (),L2CAP,551,Dynamically Allocated Channel,806005830170f5500000000047fc0000,Sent Connection oriented channel
4418,30:12.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4419,30:12.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4420,30:12.3,localhost (),remote (),L2CAP,560,Dynamically Allocated Channel,806005840170f5670000000047fc0000,Sent Connection oriented channel
4421,30:12.3,localhost (),remote (),L2CAP,541,Dynamically Allocated Channel,806005850170f57e0000000047fc0000,Sent Connection oriented channel
4422,30:12.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4423,30:12.3,localhost (),remote (),L2CAP,554,Dynamically Allocated Channel,806005860170f5950000000047fc0000,Sent Connection oriented channel
4424,30:12.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4425,30:12.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4426,30:12.3,localhost (),remote (),L2CAP,536,Dynamically Allocated Channel,806005870170f5ac0000000047fc0000,Sent Connection oriented channel
4427,30:12.4,localhost (),remote (),L2CAP,561,Dynamically Allocated Channel,806005880170f5c40000000047fc0000,Sent Connection oriented channel
4428,30:12.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4429,30:12.4,localhost (),remote (),L2CAP,581,Dynamically Allocated Channel,806005890170f5db0000000047fc0000,Sent Connection oriented channel
4430,30:12.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4431,30:12.4,localhost (),remote (),L2CAP,571,Dynamically Allocated Channel,8060058a0170f5f30000000047fc0000,Sent Connection oriented channel
4432,30:12.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4433,30:12.4,localhost (),remote (),L2CAP,535,Dynamically Allocated Channel,8060058b0170f60a0000000047fc0000,Sent Connection oriented channel
4434,30:12.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4435,30:12.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4436,30:12.5,localhost (),remote (),L2CAP,573,Dynamically Allocated Channel,8060058c0170f6210000000047fc0000,Sent Connection oriented channel
4437,30:12.5,localhost (),remote (),L2CAP,573,Dynamically Allocated Channel,8060058d0170f6380000000047fc0000,Sent Connection oriented channel
4438,30:12.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4439,30:12.5,localhost (),remote (),L2CAP,569,Dynamically Allocated Channel,8060058e0170f64f0000000047fc0000,Sent Connection oriented channel
4440,30:12.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4441,30:12.5,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4442,30:12.5,localhost (),remote (),L2CAP,558,Dynamically Allocated Channel,8060058f0170f6670000000047fc0000,Sent Connection oriented channel
4443,30:12.5,localhost (),remote (),L2CAP,551,Dynamically Allocated Channel,806005900170f67e0000000047fc0000,Sent Connection oriented channel
4444,30:12.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4445,30:12.6,localhost (),remote (),L2CAP,541,Dynamically Allocated Channel,806005910170f6950000000047fc0000,Sent Connection oriented channel
4446,30:12.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4447,30:12.6,localhost (),remote (),L2CAP,569,Dynamically Allocated Channel,806005920170f6ac0000000047fc0000,Sent Connection oriented channel
4448,30:12.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4449,30:12.6,localhost (),remote (),L2CAP,576,Dynamically Allocated Channel,806005930170f6c40000000047fc0000,Sent Connection oriented channel
4450,30:12.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4451,30:12.6,localhost (),remote (),L2CAP,553,Dynamically Allocated Channel,806005940170f6db0000000047fc0000,Sent Connection oriented channel
4452,30:12.6,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4453,30:12.7,localhost (),remote (),L2CAP,538,Dynamically Allocated Channel,806005950170f6f20000000047fc0000,Sent Connection oriented channel
4454,30:12.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4455,30:12.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4456,30:12.7,localhost (),remote (),L2CAP,572,Dynamically Allocated Channel,806005960170f7090000000047fc0000,Sent Connection oriented channel
4457,30:12.7,localhost (),remote (),L2CAP,573,Dynamically Allocated Channel,806005970170f7200000000047fc0000,Sent Connection oriented channel
4458,30:12.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4459,30:12.7,localhost (),remote (),L2CAP,544,Dynamically Allocated Channel,806005980170f7380000000047fc0000,Sent Connection oriented channel
4460,30:12.7,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4461,30:12.8,localhost (),remote (),L2CAP,558,Dynamically Allocated Channel,806005990170f74f0000000047fc0000,Sent Connection oriented channel
4462,30:12.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4463,30:12.8,localhost (),remote (),L2CAP,539,Dynamically Allocated Channel,8060059a0170f7660000000047fc0000,Sent Connection oriented channel
4464,30:12.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4465,30:12.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4466,30:12.8,localhost (),remote (),L2CAP,535,Dynamically Allocated Channel,8060059b0170f77d0000000047fc0000,Sent Connection oriented channel
4467,30:12.8,localhost (),remote (),L2CAP,581,Dynamically Allocated Channel,8060059c0170f7950000000047fc0000,Sent Connection oriented channel
4468,30:12.8,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4469,30:12.9,localhost (),remote (),L2CAP,571,Dynamically Allocated Channel,8060059d0170f7ac0000000047fc0000,Sent Connection oriented channel
4470,30:12.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4471,30:12.9,localhost (),remote (),L2CAP,582,Dynamically Allocated Channel,8060059e0170f7c30000000047fc0000,Sent Connection oriented channel
4472,30:12.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4473,30:12.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
4474,30:12.9,localhost (),remote (),L2CAP,564,Dynamically Allocated Channel,8060059f0170f7db0000000047fc0000,Sent Connection oriented channel
4475,30:12.9,localhost (),remote (),L2CAP,542,Dynamically Allocated Channel,806005a00170f7f10000000047fc0000,Sent Connection oriented channel
4476,30:12.9,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
